Cod_IBGE,Grande região,Município,Mun_Total de casos,Mun_Total de óbitos
3508009,Interior,Buri,2452,79
3508108,Interior,Buritama,2324,64
3508207,Interior,Buritizal,306,10
3508306,Interior,Cabrália Paulista,403,6
3508405,Interior,Cabreúva,3633,91
3508504,Interior,Caçapava,8137,250
3508603,Interior,Cachoeira Paulista,2428,39
3508702,Interior,Caconde,1304,33
3508801,Interior,Cafelândia,742,36
3508900,Interior,Caiabu,260,7
3509007,RMSP (exceto capital),Caieiras,8261,291
3509106,Interior,Caiuá,348,8
3509205,RMSP (exceto capital),Cajamar,4584,221
3509254,Interior,Cajati,3261,99
3509304,Interior,Cajobi,996,30
3509403,Interior,Cajuru,1082,36
3509452,Interior,Campina do Monte Alegre,549,16
3509502,Interior,Campinas,95793,3791
3509601,Interior,Campo Limpo Paulista,5113,236
3509700,Interior,Campos do Jordão,4800,110
3509809,Interior,Campos Novos Paulista,275,9
3509908,Interior,Cananéia,686,29
3509957,Interior,Canas,206,4
3510005,Interior,Cândido Mota,4102,144
3510104,Interior,Cândido Rodrigues,131,7
3510153,Interior,Canitar,826,12
3510203,Interior,Capão Bonito,5419,68
3510302,Interior,Capela do Alto,1441,29
3510401,Interior,Capivari,4612,89
3510500,Interior,Caraguatatuba,16527,439
3510609,RMSP (exceto capital),Carapicuíba,30050,1008
3510708,Interior,Cardoso,1068,36
3510807,Interior,Casa Branca,2767,79
